Packet_send_time(sec)	Packet_delay(sec)
36.099072		0.004896
36.110912		0.004896
36.117952		0.004896
36.131392		0.004896
36.138432		0.004896
36.151872		0.004896
36.157312		0.004896
36.170432		0.004896
36.178432		0.004896
36.192512		0.004896
36.198912		0.004896
36.212032		0.004896
36.219072		0.004896
36.231872		0.004896
36.238592		0.004896
36.253312		0.004896
36.260672		0.004896
36.267072		0.004896
36.274432		0.004896
36.280512		0.004896
36.287872		0.004896
36.292992		0.004896
36.301312		0.004896
36.308672		0.004896
36.314432		0.004896
36.320512		0.004896
36.326592		0.004896
36.332352		0.004896
36.339712		0.004896
36.345152		0.004896
36.351552		0.004896
36.357632		0.004896
36.363072		0.004896
36.369152		0.004896
36.376512		0.004896
36.381952		0.004896
36.388032		0.004896
36.394112		0.004896
36.400832		0.004896
36.407232		0.004896
36.412352		0.004896
36.418112		0.004896
36.425152		0.004896
36.432192		0.004896
36.437312		0.004896
36.442432		0.004896
36.447552		0.004896
36.452672		0.004896
36.458432		0.004896
36.464192		0.004896
36.471552		0.004896
36.477312		0.004896
36.482752		0.004896
36.490112		0.004896
36.497472		0.004896
36.504512		0.004896
36.511552		0.004896
36.518272		0.004896
36.524672		0.004896
36.529792		0.004896
36.537152		0.004896
36.547072		0.004896
36.553152		0.004896
36.560192		0.004896
36.566912		0.004896
36.574272		0.004896
36.581632		0.004896
36.588992		0.004896
36.595712		0.004896
36.602432		0.004896
36.608192		0.004896
36.615232		0.004896
36.621632		0.004896
36.628352		0.004896
36.634752		0.004896
36.640192		0.004896
36.645632		0.004896
36.651712		0.004896
36.657792		0.004896
36.669952		0.004896
36.676992		0.004896
36.684352		0.004896
36.690752		0.004896
36.696192		0.004896
36.702912		0.004896
36.710272		0.004896
36.715392		0.004896
36.721792		0.004896
36.727552		0.004896
36.733312		0.004896
36.739072		0.004896
36.744512		0.004896
36.751872		0.004896
36.758592		0.004896
36.764032		0.004896
36.769472		0.004896
36.776192		0.004896
36.782592		0.004896
36.792832		0.004896
36.798272		0.004896
36.805632		0.004896
36.811392		0.004896
36.820672		0.004896
36.847232		0.004896
36.852672		0.004896
36.858112		0.004896
36.864832		0.004896
36.870912		0.004896
36.876992		0.004896
36.883392		0.004896
36.890752		0.004896
36.895872		0.004896
36.902272		0.004896
36.907392		0.004896
36.915712		0.004896
36.921792		0.004896
36.927872		0.004896
36.933952		0.004896
36.939712		0.004896
36.947072		0.004896
36.953792		0.004896
36.959232		0.004896
36.964352		0.004896
36.969472		0.004896
36.976512		0.004896
36.983872		0.004896
36.990272		0.004896
36.996032		0.004896
37.010432		0.004896
37.015552		0.004896
37.021632		0.004896
37.031552		0.004896
37.038592		0.004896
37.044032		0.004896
37.050752		0.004896
37.056832		0.004896
37.063552		0.004896
37.068992		0.004896
37.074752		0.004896
37.080192		0.004896
37.087552		0.004896
37.094912		0.004896
37.102272		0.004896
37.108032		0.004896
37.115072		0.004896
37.121472		0.004896
37.126912		0.004896
37.133312		0.004896
37.139712		0.004896
37.144832		0.004896
37.151552		0.004896
37.161472		0.004896
37.166912		0.004896
37.359872		0.004896
37.172992		0.004896
37.178432		0.004896
37.383232		0.004896
37.185152		0.004896
37.190912		0.004896
37.412992		0.004896
37.196992		0.004896
37.202752		0.004896
37.208192		0.004896
37.213632		0.004896
37.475392		0.004896
37.220992		0.004896
37.227072		0.004896
37.503552		0.004896
37.232192		0.004896
37.238272		0.004896
37.530112		0.004896
37.243712		0.004896
37.249152		0.004896
37.542912		0.004896
37.256192		0.004896
37.263232		0.004896
37.549312		0.004896
